,name,description,created_at,updated_at,duration,urls.Original,urls.Arabic,urls.Korean,urls.English,urls.Russian,urls.Chinese,urls.Spanish,urls.Interlingua,urls.French,urls.480p,urls.720p,urls.1080p
0,INC-5 on plastic pollution (part 1),"<div><div><div><span>
  <span>In March 2022, at the resumed fifth session of the UN
  Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop
  an international legally binding instrument on plastic pollution, including
  in the marine environment.<br>
    <br>
    The resolution (5/14) requested the Executive Director of the UN
  Environment Programme (UNEP) to convene an Intergovernmental Negotiating
  Committee (INC) to develop ""the instrument,"" which is to be based
  on a comprehensive approach that addresses the full life cycle of plastic,
  including its production, design and disposal.<br>
    <br>
    The INC began its work during the second half of 2022, with the ambition to
  complete the negotiations by the end of 2024. The first session of the INC
  (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December
  2022, followed by a second session (INC-2) from 29 May to 2 June 2023 in
  Paris, France, and a third session (INC-3) from 13 to 19 November 2023 in
  Nairobi, Kenya. The fourth session (INC-4) took place in Ottawa, Canada, from
  23 to 29 April 2024.&nbsp; The fifth session
  (INC-5) is taking place in Busan, Republic of Korea, from 25 November – 1
  December 2024.</span></span></div></div></div>",2024-11-25 00:41:09,2024-12-01 10:08:46,0 days 03:06:44.348000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/106,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/112,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/100,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/108,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/105,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/101,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/2931871,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/102,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_1o7c34ec/format/download/protocol/https/flavorParamIds/487091
0,INC-5 on plastic pollution (part 2),"<div><span>
  <span>In March 2022, at the resumed fifth session of the UN
  Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop
  an international legally binding instrument on plastic pollution, including
  in the marine environment.<br>
    <br>
    The resolution (5/14) requested the Executive Director of the UN
  Environment Programme (UNEP) to convene an Intergovernmental Negotiating
  Committee (INC) to develop ""the instrument,"" which is to be based
  on a comprehensive approach that addresses the full life cycle of plastic,
  including its production, design and disposal.<br>
    <br>
    The INC began its work during the second half of 2022, with the ambition to
  complete the negotiations by the end of 2024. The first session of the INC
  (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December
  2022, followed by a second session (INC-2) from 29 May to 2 June 2023 in
  Paris, France, and a third session (INC-3) from 13 to 19 November 2023 in
  Nairobi, Kenya. The fourth session (INC-4) took place in Ottawa, Canada, from
  23 to 29 April 2024.&nbsp; The fifth session
  (INC-5) is taking place in Busan, Republic of Korea, from 25 November – 1
  December 2024.</span></span></div>",2024-11-25 05:41:37,2024-11-30 00:55:15,0 days 02:03:45.069000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/106,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/112,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/100,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/108,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/105,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/101,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/2931871,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/102,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_oy5ums5j/format/download/protocol/https/flavorParamIds/487091
0,INC-5 on plastic pollution (part 3),"<div><div><div><div><div><div><span>
  <span>In March 2022, at the resumed fifth session of the UN
  Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop
  an international legally binding instrument on plastic pollution, including
  in the marine environment.<br>
    <br>
    The resolution (5/14) requested the Executive Director of the UN
  Environment Programme (UNEP) to convene an Intergovernmental Negotiating
  Committee (INC) to develop ""the instrument,"" which is to be based
  on a comprehensive approach that addresses the full life cycle of plastic,
  including its production, design and disposal.<br>
    <br>
    The INC began its work during the second half of 2022, with the ambition to
  complete the negotiations by the end of 2024. The first session of the INC
  (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December
  2022, followed by a second session (INC-2) from 29 May to 2 June 2023 in
  Paris, France, and a third session (INC-3) from 13 to 19 November 2023 in
  Nairobi, Kenya. The fourth session (INC-4) took place in Ottawa, Canada, from
  23 to 29 April 2024.&nbsp; The fifth session
  (INC-5) is taking place in Busan, Republic of Korea, from 25 November – 1
  December 2024.</span></span></div></div></div></div></div></div>",2024-11-27 07:41:35,2024-11-30 00:57:04,0 days 01:53:55.560000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/106,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/112,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/100,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/108,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/105,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/101,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/2931871,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/102,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_k4nbytdy/format/download/protocol/https/flavorParamIds/487091
0,INC-5 on plastic pollution (part 4),"<div><div><div><div><div><div><div><div><div><div><div><div><span>
  <span>In March 2022, at the resumed fifth session of the UN
  Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop
  an international legally binding instrument on plastic pollution, including
  in the marine environment.<br>
    <br>
    The resolution (5/14) requested the Executive Director of the UN
  Environment Programme (UNEP) to convene an Intergovernmental Negotiating
  Committee (INC) to develop ""the instrument,"" which is to be based
  on a comprehensive approach that addresses the full life cycle of plastic,
  including its production, design and disposal.<br>
    <br>
    The INC began its work during the second half of 2022, with the ambition to
  complete the negotiations by the end of 2024. The first session of the INC
  (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December
  2022, followed by a second session (INC-2) from 29 May to 2 June 2023 in
  Paris, France, and a third session (INC-3) from 13 to 19 November 2023 in
  Nairobi, Kenya. The fourth session (INC-4) took place in Ottawa, Canada, from
  23 to 29 April 2024.&nbsp; The fifth session
  (INC-5) is taking place in Busan, Republic of Korea, from 25 November – 1
  December 2024.</span></span></div></div></div></div></div></div></div></div></div></div></div></div>",2024-12-01 10:11:07,2024-12-02 12:43:11,0 days 05:52:05.144000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/106,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/100,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/108,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/105,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/101,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/2931871,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/102,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_92h64ppy/format/download/protocol/https/flavorParamIds/487091
0,INC-5 on plastic pollution: Press Conference,"<div><div><div><span>
  <span>In March 2022, at the resumed fifth session of the UN
  Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop
  an international legally binding instrument on plastic pollution, including
  in the marine environment.<br>
    <br>
    The resolution (5/14) requested the Executive Director of the UN
  Environment Programme (UNEP) to convene an Intergovernmental Negotiating
  Committee (INC) to develop ""the instrument,"" which is to be based
  on a comprehensive approach that addresses the full life cycle of plastic,
  including its production, design and disposal.<br>
    <br>
    The INC began its work during the second half of 2022, with the ambition to
  complete the negotiations by the end of 2024. The first session of the INC
  (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December
  2022, followed by a second session (INC-2) from 29 May to 2 June 2023 in
  Paris, France, and a third session (INC-3) from 13 to 19 November 2023 in
  Nairobi, Kenya. The fourth session (INC-4) took place in Ottawa, Canada, from
  23 to 29 April 2024.&nbsp; The fifth session
  (INC-5) is taking place in Busan, Republic of Korea, from 25 November – 1
  December 2024.</span></span></div></div></div>",2024-11-25 04:16:54,2024-11-30 00:43:42,0 days 00:44:12.973000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_66ml5ta7/format/download/protocol/https/flavorParamIds/0,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_66ml5ta7/format/download/protocol/https/flavorParamIds/112,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_66ml5ta7/format/download/protocol/https/flavorParamIds/100,,,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_66ml5ta7/format/download/protocol/https/flavorParamIds/2931871,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_66ml5ta7/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_66ml5ta7/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_66ml5ta7/format/download/protocol/https/flavorParamIds/487091
0,INC-5 on plastic pollution: Press Conference,"<div><span>
  <span>In March 2022, at the resumed fifth session of the UN
  Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop
  an international legally binding instrument on plastic pollution, including
  in the marine environment.<br>
    <br>
    The resolution (5/14) requested the Executive Director of the UN
  Environment Programme (UNEP) to convene an Intergovernmental Negotiating
  Committee (INC) to develop ""the instrument,"" which is to be based
  on a comprehensive approach that addresses the full life cycle of plastic,
  including its production, design and disposal.<br>
    <br>
    The INC began its work during the second half of 2022, with the ambition to
  complete the negotiations by the end of 2024. The first session of the INC
  (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December
  2022, followed by a second session (INC-2) from 29 May to 2 June 2023 in
  Paris, France, and a third session (INC-3) from 13 to 19 November 2023 in
  Nairobi, Kenya. The fourth session (INC-4) took place in Ottawa, Canada, from
  23 to 29 April 2024.&nbsp; The fifth session
  (INC-5) is taking place in Busan, Republic of Korea, from 25 November – 1
  December 2024.</span></span></div>",2024-11-27 10:19:01,2024-11-30 00:40:46,0 days 00:11:41.708000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_22640txx/format/download/protocol/https/flavorParamIds/0,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_22640txx/format/download/protocol/https/flavorParamIds/112,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_22640txx/format/download/protocol/https/flavorParamIds/100,,,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_22640txx/format/download/protocol/https/flavorParamIds/2931871,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_22640txx/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_22640txx/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_22640txx/format/download/protocol/https/flavorParamIds/487091
0,INC-4 on plastic pollution: Plenary (part 1),"<p>In March 2022, at the resumed fifth session of the UN Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop&nbsp;an international legally binding instrument on plastic pollution, including in the marine environment.</p>
<p><a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://wedocs.unep.org/bitstream/handle/20.500.11822/39812/OEWG_PP_1_INF_1_UNEA%20resolution.pdf"">The resolution (5/14)</a>&nbsp;requested the Executive Director of the UN Environment Programme (UNEP) to convene an Intergovernmental Negotiating Committee (INC) to develop ""the instrument,"" which is to be based on a comprehensive approach that addresses the full life cycle of plastic, including its production, design and disposal.</p>
<p>The INC began its work during the second half of 2022, with the ambition to complete the negotiations by the end of 2024. The&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/inter-governmental-negotiating-committee-meeting-inc-1"">first session</a>&nbsp;of the INC (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December 2022, followed by a&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/second-session-intergovernmental-negotiating-committee-develop-international"">second session</a>&nbsp;(INC-2) from 29 May to 2 June 2023 in Paris, France, and a&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/inc-3"">third session</a>&nbsp;(INC-3) from 13 to 19 November 2023 in Nairobi, Kenya. The&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/inc-plastic-pollution/session-4"">fourth session</a>&nbsp;(INC-4) will take place from 23 to 29 April 2024 in Ottawa, Canada.</p>",2024-04-23 14:41:29,2024-04-24 11:16:42,0 days 02:56:51.659000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/106,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/100,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/108,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/105,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/101,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/2931871,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/102,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_sfsiv4mz/format/download/protocol/https/flavorParamIds/487091
0,INC-4 on plastic pollution: Plenary (part 2),"<p>In March 2022, at the resumed fifth session of the UN Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop&nbsp;an international legally binding instrument on plastic pollution, including in the marine environment.</p>
<p><a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://wedocs.unep.org/bitstream/handle/20.500.11822/39812/OEWG_PP_1_INF_1_UNEA%20resolution.pdf"">The resolution (5/14)</a>&nbsp;requested the Executive Director of the UN Environment Programme (UNEP) to convene an Intergovernmental Negotiating Committee (INC) to develop ""the instrument,"" which is to be based on a comprehensive approach that addresses the full life cycle of plastic, including its production, design and disposal.</p>
<p>The INC began its work during the second half of 2022, with the ambition to complete the negotiations by the end of 2024. The&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/inter-governmental-negotiating-committee-meeting-inc-1"">first session</a>&nbsp;of the INC (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December 2022, followed by a&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/second-session-intergovernmental-negotiating-committee-develop-international"">second session</a>&nbsp;(INC-2) from 29 May to 2 June 2023 in Paris, France, and a&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/inc-3"">third session</a>&nbsp;(INC-3) from 13 to 19 November 2023 in Nairobi, Kenya. The&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/inc-plastic-pollution/session-4"">fourth session</a>&nbsp;(INC-4) will take place from 23 to 29 April 2024 in Ottawa, Canada.</p>",2024-04-23 19:36:01,2024-04-24 11:18:41,0 days 01:31:22.487000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/106,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/100,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/108,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/105,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/101,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/2931871,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/102,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_jfynhumt/format/download/protocol/https/flavorParamIds/487091
0,INC-4 on plastic pollution: Plenary (part 3),"<p>In March 2022, at the resumed fifth session of the UN Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop&nbsp;an international legally binding instrument on plastic pollution, including in the marine environment.&nbsp;</p>
<p><a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://wedocs.unep.org/bitstream/handle/20.500.11822/39812/OEWG_PP_1_INF_1_UNEA%20resolution.pdf"">The resolution (5/14)</a>&nbsp;requested the Executive Director of the UN Environment Programme (UNEP) to convene an Intergovernmental Negotiating Committee (INC) to develop ""the instrument,"" which is to be based on a comprehensive approach that addresses the full life cycle of plastic, including its production, design and disposal.</p>
<p>The INC began its work during the second half of 2022, with the ambition to complete the negotiations by the end of 2024. The&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/inter-governmental-negotiating-committee-meeting-inc-1"">first session</a>&nbsp;of the INC (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December 2022, followed by a&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/second-session-intergovernmental-negotiating-committee-develop-international"">second session</a>&nbsp;(INC-2) from 29 May to 2 June 2023 in Paris, France, and a&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/inc-3"">third session</a>&nbsp;(INC-3) from 13 to 19 November 2023 in Nairobi, Kenya. The&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/inc-plastic-pollution/session-4"">fourth session</a>&nbsp;(INC-4) will take place from 23 to 29 April 2024 in Ottawa, Canada.</p>",2024-04-27 00:51:14,2024-04-27 13:29:35,0 days 02:11:40.265000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/106,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/100,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/108,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/105,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/101,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/2931871,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/102,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_6stgst0d/format/download/protocol/https/flavorParamIds/487091
0,INC-4 on plastic pollution: Press Conference,"<p><b>Speakers:&nbsp;&nbsp;&nbsp;</b></p>
<p>- Luis Vayas Valdivieso,&nbsp;INC Chair</p><p>- Inger Andersen,&nbsp;Executive Director, UN Environment Programme</p><p>- Steven Guilbeault,&nbsp;Minister of Environment and Climate Change, Canada</p><p>- Jyoti Mathur-Filipp,&nbsp;Executive Secretary, INC Secretariat&nbsp; &nbsp;&nbsp;</p><p>---</p><p>In March 2022, at the resumed fifth session of the UN Environment Assembly (UNEA-5.2), a historic resolution was adopted to develop&nbsp;an international legally binding instrument on plastic pollution, including in the marine environment.</p>
<p><a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://wedocs.unep.org/bitstream/handle/20.500.11822/39812/OEWG_PP_1_INF_1_UNEA%20resolution.pdf"">The resolution (5/14)</a>&nbsp;requested the Executive Director of the UN Environment Programme (UNEP) to convene an Intergovernmental Negotiating Committee (INC) to develop ""the instrument,"" which is to be based on a comprehensive approach that addresses the full life cycle of plastic, including its production, design and disposal.</p>
<p>The INC began its work during the second half of 2022, with the ambition to complete the negotiations by the end of 2024. The&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/inter-governmental-negotiating-committee-meeting-inc-1"">first session</a>&nbsp;of the INC (INC-1) took place in Punta del Este, Uruguay from 28 November to 2 December 2022, followed by a&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/second-session-intergovernmental-negotiating-committee-develop-international"">second session</a>&nbsp;(INC-2) from 29 May to 2 June 2023 in Paris, France, and a&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/events/conference/inc-3"">third session</a>&nbsp;(INC-3) from 13 to 19 November 2023 in Nairobi, Kenya. The&nbsp;<a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.unep.org/inc-plastic-pollution/session-4"">fourth session</a>&nbsp;(INC-4) will take place from 23 to 29 April 2024 in Ottawa, Canada.</p>",2024-04-23 18:06:21,2024-04-24 11:18:12,0 days 00:25:49.352000,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_l4fgy5ej/format/download/protocol/https/flavorParamIds/0,,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_l4fgy5ej/format/download/protocol/https/flavorParamIds/100,,,,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_l4fgy5ej/format/download/protocol/https/flavorParamIds/2931871,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_l4fgy5ej/format/download/protocol/https/flavorParamIds/102,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_l4fgy5ej/format/download/protocol/https/flavorParamIds/487051,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_l4fgy5ej/format/download/protocol/https/flavorParamIds/487071,https://cdnapisec.kaltura.com/p/2503451/sp/0/playManifest/entryId/1_l4fgy5ej/format/download/protocol/https/flavorParamIds/487091
